"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4258","loginTest","Default Suite","2026-01-13","failed","2026-01-13","tests.login.LoginTest","API_AUTOMATION","tests.login.LoginTest","loginTest"
"","5336","createAndVerifyProjectTest","Default Suite","2026-01-13","passed","2026-01-13","tests.project.ProjectTest","API_AUTOMATION","tests.project.ProjectTest","createAndVerifyProjectTest"
"","3812","getAndPrintAllProjectsTest","Default Suite","2026-01-12","failed","2026-01-12","tests.project.GetMyProjectsTest","API_AUTOMATION","tests.project.GetMyProjectsTest","getAndPrintAllProjectsTest"
"","2381","getAndVerifyMyProjectsTest","API Automation Suite","2026-01-12","passed","2026-01-12","tests.project.GetMyProjectsTest","API Tests","tests.project.GetMyProjectsTest","getAndVerifyMyProjectsTest"
"","6231","createProjectTest","Default Suite","2026-01-12","passed","2026-01-12","tests.project.ProjectTest","API_AUTOMATION","tests.project.ProjectTest","createProjectTest"
"","941","getProjectsTest","API Automation Suite","2026-01-12","failed","2026-01-12","tests.project.GetProjectsTest","API Tests","tests.project.GetProjectsTest","getProjectsTest"
"","842","getProjectDetailsByProjectIdTest","API Automation Suite","2026-01-12","passed","2026-01-12","tests.project.GetProjectDetailsByIdTest","API Tests","tests.project.GetProjectDetailsByIdTest","getProjectDetailsByProjectIdTest"
